"turtle.id","Pool","Riffle","Run"
"16",52.112676056338,4.22535211267606,43.6619718309859
"18",92.4528301886792,4.71698113207547,2.83018867924528
"21",42,2,56
"22",43.5294117647059,49.4117647058824,7.05882352941176
"23",73.0769230769231,1.28205128205128,25.6410256410256
"24",98.7179487179487,0,1.28205128205128
"25",87.7777777777778,0,12.2222222222222
"26",47.0588235294118,35.2941176470588,17.6470588235294
"30",72.0930232558139,23.2558139534884,4.65116279069767
"32",80.7692307692308,11.5384615384615,7.69230769230769
"37",80.8510638297872,2.12765957446809,17.0212765957447
"39",54.5454545454545,27.2727272727273,18.1818181818182
"43",93.6507936507936,0,6.34920634920635
"45",71.4285714285714,4.76190476190476,23.8095238095238
"47",50.5263157894737,4.21052631578947,45.2631578947368
"54",92.7083333333333,0,7.29166666666667
"56",53.4090909090909,42.0454545454545,4.54545454545455
"58",15.9090909090909,82.9545454545455,1.13636363636364
"61",86.7924528301887,4.71698113207547,8.49056603773585
"62",89.6551724137931,3.44827586206897,6.89655172413793
"63",22.8915662650602,38.5542168674699,38.5542168674699
"65",89.5348837209302,1.16279069767442,9.30232558139535
"71",73.9130434782609,5.79710144927536,20.2898550724638
"72",75.8620689655172,0,24.1379310344828
"73",100,0,0
