"turtle.id","radio.id","sex","cl","pl","wt","year","month","season","dx","dy","dist","dt","dailyDist"
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",-12.2252699016826,-10.8516809768043,16.3467490404461,210840,6.69872470638655
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",-1.67904299782822,2.24830922670662,2.80607907362749,203280,1.19266643034935
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",8.83554610447027,13.1323298001662,15.8279803179228,600900,2.27581544261696
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",6.09511642134748,49.7574315653183,50.1293570691577,606780,7.13796837531762
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",-9.00311612518271,-21.9954134742729,23.7666639196113,140640,14.6006809062458
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",-4.52406065165997,33.3339895862155,33.6395895711262,140880,20.6307533996685
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",5.29920362454141,7.65778161818162,9.3125280330377,169080,4.75870843419954
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",6.93624726752751,3.19369698222727,7.63617879377967,165540,3.98553731897163
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",6.77945455937879,-4.56129775568843,8.17107345082212,120900,5.83937755294484
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",-11.5440713542048,25.7087544407696,28.1816542865524,122700,19.8442944609465
"54","54_173.641","M",118.9,100.5,200,"2020","May","2020 Wet Season",-3.43161902861902,0.0648776446469128,3.432232257053,264540,1.1209830914394
"18","18_173.405","F",118.7,102.7,205,"2020","May","2020 Wet Season",15.2898272541352,-9.15535192610696,17.8213155056568,248880,6.18676333851153
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",3.47343951050425,2.15089015522972,4.08547555285748,137940,2.55897555289899
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",10.8286509964964,27.5023013274185,29.55733852545,143700,17.7714269213562
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",3.95525637286482,27.632257131394,27.9138977419952,147540,16.3464874942957
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-2.12955952825723,-22.1253686691634,22.2276171131948,123660,15.5302128301798
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-1.69998249947093,1.1404232098721,2.04707244525503,118440,1.49330512723771
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-5.63432697358076,-25.383949780371,26.0017412281874,115200,19.5013059211405
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-17.175138770428,-90.5543593759649,92.1687441260586,264120,30.1506114360573
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-3.34776501671877,4.49642342142761,5.6058321587369,253920,1.90746651904091
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-35.8134594875737,-76.9025853429921,84.8328445409222,261240,28.0567974595608
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-10.3887547580525,-4.23669985216111,11.2194407641496,151200,6.41110900808547
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",8.85635492455913,14.2402136796154,16.7695768637992,144660,10.0158401841024
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",7.00976859382354,7.62543607316911,10.3578053198998,148020,6.0459017675945
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-8.64708879578393,-3.16134588094428,9.20685898779466,150360,5.29045368811824
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",13.4744899726356,-14.6624316950329,19.9135326658572,207300,8.29970681297667
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",3.48375350201968,2.15069691464305,4.09414651441415,207000,1.70886115384243
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",5.0477457990637,-5.63685025181621,7.56662529886116,201600,3.24283941379764
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-17.377629601513,-10.754248321522,20.4361412093463,202380,8.72459037695187
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",3.38974153256277,-2.28065713774413,4.08555316175475,198600,1.77740077127699
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",-16.5918134899111,31.345601585228,35.4659697967481,308280,9.93985918787801
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-6.49949377978919,110.951073944103,111.141280489039,309720,31.0041541852415
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",-19.2135322013637,-16.2609516773373,25.1709826805697,300600,7.23477346507392
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",16.7073355944012,-24.6980888755061,29.8182939949009,318900,8.07870994405593
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",39.297312382143,79.0532739944756,88.2819284435119,319680,23.8599806604086
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",5.21533315861598,3.22623601881787,6.13256054225941,298740,1.77362666817706
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",-5.46669832465705,-16.5208603348583,17.4018279722764,296820,5.06541990703013
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-2.55165613233112,46.5960917891935,46.6659053168864,295500,13.6444474429069
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-3.70388414704939,-14.3376315454952,14.8083232038318,275880,4.63766537919048
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",0.125675352988765,6.64731255546212,6.6485004703582,269700,2.12988669128272
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",29.3411195306107,7.20326649118215,30.2123872517975,230820,11.3090298005169
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-4.88021004071925,14.4999314849265,15.2991654383205,232200,5.69271272123552
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",-8.60499707434792,-0.945581535343081,8.65679496635551,233040,3.20952233562099
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",10.4515832516481,7.56035084975883,12.8993991114928,234540,4.75188915849312
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-17.9743363948073,-41.7748247780837,45.4776071718081,235380,16.6932843047167
"56","56_173.604","F",131.1,115.1,250,"2020","June","2020 Wet Season",1.88851034233812,8.83054436044767,9.03022618847127,237600,3.28371861398955
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-20.6521957794903,-1.82613190636039,20.7327747360025,300660,5.95793167428529
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",18.7425082138507,-8.11232964508235,20.422818278013,299580,5.89001768883211
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",12.1515954974457,6.41993323108181,13.7432461894958,280620,4.23140357341756
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",3.4943888814887,3.25877365749329,4.77811253591249,279780,1.47554837051554
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",13.6629312942969,-4.69149219756946,14.44596104773,277500,4.49776949377971
"56","56_173.604","F",131.1,115.1,250,"2020","June","2020 Wet Season",-10.4305116969626,-6.45244120759889,12.2649733712713,273180,3.87910425096216
"58","58_173.514","J",97.7,84.5,144,"2020","June","2020 Wet Season",-1.81535765598528,-5.50707797519863,5.79857148305185,271740,1.8436615004625
"32","32_172.454","J",77.1,63.9,77,"2020","June","2020 Wet Season",-10.4514124224661,-7.56027534976602,12.8992164486359,271560,4.1040370494997
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",-4.79638209921541,18.9314754554071,19.5296196624602,138360,12.1954259817618
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",-1.87820226361509,-8.83074111444876,9.02826851469674,138120,5.64757022639588
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-1.82566555874655,-5.5068875788711,5.80162611159304,138540,3.61816440047379
"56","56_173.604","F",131.1,115.1,250,"2020","June","2020 Wet Season",6.98870804865146,6.51752875000238,9.55616142582331,140160,5.89078444057601
"58","58_173.514","J",97.7,84.5,144,"2020","June","2020 Wet Season",-4.90091110992944,13.3920882926323,14.2606787547118,141060,8.73474155967033
"32","32_172.454","J",77.1,63.9,77,"2020","June","2020 Wet Season",12.0884700989118,3.09617612138391,12.47867845194,142500,7.56601977717626
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-15.6671968098963,-10.7866077823564,19.0213554546046,145560,11.2904995278774
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-11.7466385259177,105.508841982577,106.160723684247,147420,62.2187391556024
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",3.18018663465045,-13.3595094406046,13.7328103287278,213420,5.55952962422491
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",-3.39995609375183,2.28084976738319,4.09413936020895,214260,1.6509551046488
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",-3.97622313699685,-28.7401431468315,29.0138963004895,214320,11.6965315433104
"56","56_173.604","F",131.1,115.1,250,"2020","June","2020 Wet Season",0,0,0,213420,0
"58","58_173.514","J",97.7,84.5,144,"2020","June","2020 Wet Season",5.04759188712342,-5.63688395544887,7.56654773236454,212700,3.07357651187728
"61","61_172.215","F",131.3,113.8,255,"2020","June","2020 Wet Season",3.34764454053948,-4.49645452061668,5.60578515694081,212400,2.28031938587423
"32","32_172.454","J",77.1,63.9,77,"2020","June","2020 Wet Season",-6.93611397081986,-3.1936424090527,7.63603489077298,211440,3.12028667500372
"62","62_172.325","J",93.5,89.2,111,"2020","June","2020 Wet Season",-6.97803088795627,-5.40941122826189,8.82919276659636,210240,3.62843538353275
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",13.715836325835,-1.36759536340833,13.7838486350914,190020,6.26736407784388
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",-3.11733672046103,16.6831681872718,16.9719147120628,189300,7.74629387808887
"54","54_173.641","M",118.9,100.5,200,"2020","June","2020 Wet Season",-1.64782051718794,3.3559974716045,3.73872056809295,150900,2.14065909266555
"25","25_173.435","F",141.2,116.6,329,"2020","June","2020 Wet Season",-5.27817177877296,-6.54989312076941,8.41190806058517,130080,5.58724520629273
"18","18_173.405","F",118.7,102.7,205,"2020","June","2020 Wet Season",11.6385356517858,-20.1691270284355,23.2862448069038,145320,13.8448358884977
"37","37_173.415","F",127.7,108.8,261,"2020","June","2020 Wet Season",4.96394407912157,-10.0683933272958,11.2255639062713,129660,7.48024619390589
"23","23_172.476","J",89,74.7,87,"2020","June","2020 Wet Season",14.6403973326669,-43.4998258976266,45.8974518593591,129120,30.7120495713183
"56","56_173.604","F",131.1,115.1,250,"2020","June","2020 Wet Season",-3.5991104003042,-8.79819487873465,9.50588390407596,128640,6.38454889079729
"58","58_173.514","J",97.7,84.5,144,"2020","June","2020 Wet Season",0.062863323953934,3.32365901721641,3.32425345908258,129420,2.21925126614693
"61","61_172.215","F",131.3,113.8,255,"2020","June","2020 Wet Season",0.0838250067899935,4.4315460473299,4.43233877330791,129360,2.96037469089211
"32","32_172.454","J",77.1,63.9,77,"2020","June","2020 Wet Season",-3.4733846927993,-2.15086095081642,4.08541357195565,129960,2.71606442456885
"62","62_172.325","J",93.5,89.2,111,"2020","June","2020 Wet Season",-3.22188279713737,11.1437820312567,11.6001899432143,130560,7.67659628595062
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",2.55883260857081,44.2828866732307,44.3567545750687,217560,17.6154789266682
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",-3.28491401503561,7.82008266774938,8.48200171048153,217260,3.37312412678636
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",5.13152622029884,-1.20530863665044,5.27117920955061,214800,2.12025085523824
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",8.54200293705799,-2.37810108205304,8.86685845906932,215700,3.55167626733235
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",8.26953294349369,-16.7806456615217,18.7076252881298,214500,7.53537913703691
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",4.85897481412394,-15.6078693554737,16.3467189999041,214920,6.5715453265946
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",5.19427160348278,2.11830759420991,5.6096064527233,214440,2.26016600221644
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",-8.54189960006624,2.37816175352782,8.86677518061411,214260,3.57551281436133
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",-8.62593669525813,-2.05346931749955,8.86699047639687,198840,3.85288662824728
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",24.8971466341754,135.847911549266,138.110546240397,194760,61.2690038774406
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",-15.5134635820286,87.8475385396741,89.2068247377434,315900,24.3984477915196
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",3.8505036693532,22.0928299981169,22.425867114415,299820,6.46252724529869
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",1.94104543369031,12.1543980780989,12.3084137896215,300300,3.54128188952146
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",1.94104543369031,12.1543980780989,12.3084137896215,3e+05,3.54482317141098
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",3.59912829328096,8.79820200661197,9.50589727593595,297360,2.7620040511194
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",-10.116244932171,10.1658477792516,14.3416481827784,298680,4.14864873105682
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",-13.4847622525995,13.5544387274422,19.1196658502474,299460,5.51639327276222
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",21.8902981287683,-23.6879766513593,32.2537655166293,299940,9.2909426573207
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",1.82567341101822,5.50687989033759,5.80162128463272,299700,1.67253946944367
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",7.03060209867544,8.73326100828126,11.2115660685145,299400,3.23540183139496
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",15.519942725834,3.03128026146442,15.8131996204661,294180,4.64430092871125
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",0.209475071984343,11.0788563215174,11.0808364846075,303120,3.15843320226342
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",-6.96783110132674,-5.40966098755598,8.82128688213354,303180,2.51388345740596
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",-6.96783110132674,-5.40966098755598,8.82128688213354,301980,2.52387305985939
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",-6.96783110132674,-5.40966098755598,8.82128688213354,301200,2.53040898611002
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",-5.15240133361658,0.0974395563825965,5.15332261456645,301740,1.47559844203135
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",6.80008858093061,-3.4534647683613,7.62677019549007,301920,2.18254155037872
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",-25.4055071508046,19.3213806571439,31.9179501861858,303420,9.08875781453581
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",-0.0419079567072913,-2.21577258780599,2.21616886489,298920,0.640562658659493
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",-0.0628719368833117,-3.32365983724594,3.32425444185146,300180,0.956811192537698
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",-0.167670443479437,-8.86309403507039,8.8646798730759,300960,2.54488417408877
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",3.40735432744259,89.7063901713118,89.771078310781,287880,26.9425495555491
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",6.80027065222384,-3.45342224650085,7.62691327839277,308880,2.13340231563434
"54","54_173.641","M",118.9,100.5,200,"2020","July","2020 Wet Season",-18.6825554901152,102.315194898751,104.006908360986,312240,28.7797747962759
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",8.25917932955781,-17.8886656244285,19.7032586396364,307380,5.53829639685271
