"turtle.id","season","Pool","Riffle","Run"
"18","2020 Wet Season",52.9411764705882,17.6470588235294,29.4117647058824
"22","2020 Wet Season",53.3333333333333,6.66666666666667,40
"23","2020 Wet Season",41.6666666666667,8.33333333333333,50
"24","2020 Wet Season",55.1724137931034,24.1379310344828,20.6896551724138
"25","2020 Wet Season",48.2758620689655,0,51.7241379310345
"30","2020 Wet Season",45,0,55
"32","2020 Wet Season",36.4341085271318,15.5038759689922,48.062015503876
"37","2020 Wet Season",41.6666666666667,5.55555555555556,52.7777777777778
"47","2020 Wet Season",52.9411764705882,15.6862745098039,31.3725490196078
"54","2020 Wet Season",43.5483870967742,13.7096774193548,42.741935483871
"56","2020 Wet Season",34.375,18.75,46.875
"58","2020 Wet Season",46.6666666666667,33.3333333333333,20
"61","2020 Wet Season",43.4782608695652,21.7391304347826,34.7826086956522
"62","2020 Wet Season",57.1428571428571,19.047619047619,23.8095238095238
"63","2020 Wet Season",54.1666666666667,12.5,33.3333333333333
"65","2020 Wet Season",55.5555555555556,11.1111111111111,33.3333333333333
"18","2020 Mating Season",38.4615384615385,23.0769230769231,38.4615384615385
"22","2020 Mating Season",46.875,28.125,25
"23","2020 Mating Season",36.9565217391304,28.2608695652174,34.7826086956522
"24","2020 Mating Season",45.8333333333333,29.1666666666667,25
"25","2020 Mating Season",46.1538461538462,23.0769230769231,30.7692307692308
"30","2020 Mating Season",38.4615384615385,15.3846153846154,46.1538461538462
"37","2020 Mating Season",38.4615384615385,23.0769230769231,38.4615384615385
"47","2020 Mating Season",34.8623853211009,23.8532110091743,41.2844036697248
"54","2020 Mating Season",29.4117647058824,0,70.5882352941177
"56","2020 Mating Season",31.5789473684211,26.3157894736842,42.1052631578947
"58","2020 Mating Season",41.6666666666667,41.6666666666667,16.6666666666667
"61","2020 Mating Season",25,12.5,62.5
"62","2020 Mating Season",40,40,20
"63","2020 Mating Season",40.9090909090909,31.8181818181818,27.2727272727273
"65","2020 Mating Season",40,33.3333333333333,26.6666666666667
"16","2020 Dry Season",44.8648648648649,13.5135135135135,41.6216216216216
"18","2020 Dry Season",54.5454545454545,6.06060606060606,39.3939393939394
"22","2020 Dry Season",62.962962962963,7.40740740740741,29.6296296296296
"23","2020 Dry Season",58.8235294117647,11.7647058823529,29.4117647058824
"24","2020 Dry Season",40,0,60
"25","2020 Dry Season",55.8823529411765,5.88235294117647,38.2352941176471
"37","2020 Dry Season",56.25,6.25,37.5
"43","2020 Dry Season",51,21,28
"47","2020 Dry Season",48.4848484848485,15.1515151515152,36.3636363636364
"54","2020 Dry Season",60.7142857142857,14.2857142857143,25
"56","2020 Dry Season",66.6666666666667,19.047619047619,14.2857142857143
"58","2020 Dry Season",68.4210526315789,21.0526315789474,10.5263157894737
"61","2020 Dry Season",60.8695652173913,17.3913043478261,21.7391304347826
"63","2020 Dry Season",57.4468085106383,21.2765957446809,21.2765957446809
"65","2020 Dry Season",50,15,35
"71","2020 Dry Season",44.4444444444444,11.1111111111111,44.4444444444444
"72","2020 Dry Season",86.6666666666667,6.66666666666667,6.66666666666667
"16","2021 Nesting Season",50,25,25
"18","2021 Nesting Season",64.7058823529412,17.6470588235294,17.6470588235294
"21","2021 Nesting Season",37.5,12.5,50
"22","2021 Nesting Season",52.0833333333333,33.3333333333333,14.5833333333333
"23","2021 Nesting Season",63.6363636363636,27.2727272727273,9.09090909090909
"24","2021 Nesting Season",57.1428571428571,14.2857142857143,28.5714285714286
"25","2021 Nesting Season",56.5217391304348,10.8695652173913,32.6086956521739
"30","2021 Nesting Season",46.4285714285714,39.2857142857143,14.2857142857143
"37","2021 Nesting Season",58.9285714285714,10.7142857142857,30.3571428571429
"43","2021 Nesting Season",50,16,34
"47","2021 Nesting Season",62.5,25,12.5
"54","2021 Nesting Season",60,20,20
"56","2021 Nesting Season",60,30,10
"58","2021 Nesting Season",66.6666666666667,22.2222222222222,11.1111111111111
"61","2021 Nesting Season",58.3333333333333,25,16.6666666666667
"63","2021 Nesting Season",63.6363636363636,9.09090909090909,27.2727272727273
"65","2021 Nesting Season",44.4444444444444,22.2222222222222,33.3333333333333
"71","2021 Nesting Season",75,12.5,12.5
"72","2021 Nesting Season",50,18.75,31.25
"73","2021 Nesting Season",16.6666666666667,66.6666666666667,16.6666666666667
"16","2021 Wet Season",48.7341772151899,15.1898734177215,36.0759493670886
"18","2021 Wet Season",61.9047619047619,14.2857142857143,23.8095238095238
"21","2021 Wet Season",50.5263157894737,6.31578947368421,43.1578947368421
"22","2021 Wet Season",58.1818181818182,25.4545454545455,16.3636363636364
"24","2021 Wet Season",65.2173913043478,13.0434782608696,21.7391304347826
"26","2021 Wet Season",58.8235294117647,11.7647058823529,29.4117647058824
"37","2021 Wet Season",51.9480519480519,11.6883116883117,36.3636363636364
"39","2021 Wet Season",44.1176470588235,22.0588235294118,33.8235294117647
"43","2021 Wet Season",52.1341463414634,16.4634146341463,31.4024390243902
"45","2021 Wet Season",49.079754601227,13.4969325153374,37.4233128834356
"47","2021 Wet Season",49.738219895288,15.1832460732984,35.0785340314136
"61","2021 Wet Season",43.5897435897436,23.0769230769231,33.3333333333333
"63","2021 Wet Season",55,12.5,32.5
"65","2021 Wet Season",51.1627906976744,20.9302325581395,27.906976744186
"71","2021 Wet Season",50.259067357513,15.0259067357513,34.7150259067358
"73","2021 Wet Season",55.2631578947368,36.8421052631579,7.89473684210526
